Name,Start time,End time,Type,Quality,SNR Z,SNR N,SNR E,SNR HF Z,SNR HF N,SNR HF E
S0367a,2019-12-09T00:33:28.505097Z,2019-12-09T00:42:25.575982Z,VERY_HIGH_FREQUENCY,D,1.23780539089,1.16801685606,1.20308811263,3.37831485017,3.21412785732,2.88923017486
S0364a,2019-12-06T02:50:38.606351Z,2019-12-06T03:13:31.383808Z,2.4_HZ,D,1.03888961735,1.03301499592,1.07696532528,1.98093133132,1.90293500401,1.93246835195
S0363d,2019-12-05T01:38:52.943716Z,2019-12-05T01:57:58.596489Z,HIGH_FREQUENCY,C,1.24493067645,1.19869848546,1.26344680103,2.24174723677,2.18981545483,2.31612692945
S0363c,2019-12-05T00:50:41.565614Z,2019-12-05T01:05:36.061674Z,2.4_HZ,C,1.26916107188,1.10105771956,1.19362109019,1.89079407863,1.59398485894,1.79394905814
S0363b,2019-12-05T00:12:19.578397Z,2019-12-05T00:30:02.464174Z,2.4_HZ,C,1.18049320495,1.10233317363,1.1111141722,1.55853303218,1.54580747605,1.8073080336
S0363a,2019-12-04T22:59:24.466255Z,2019-12-04T23:16:06.779466Z,2.4_HZ,C,1.39101590271,1.25146430848,1.11370783929,2.31362007172,2.14388513621,2.27294946277
S0362c,2019-12-04T01:18:04.105054Z,2019-12-04T01:33:27.261009Z,2.4_HZ,D,1.06428521152,1.10061626264,1.1159288991,1.29114885431,1.31147311412,1.41534241277
S0362b,2019-12-03T23:33:38.380210Z,2019-12-03T23:44:32.263350Z,BROADBAND,C,2.22993937046,2.52898415649,2.28610179183,1.24926953473,1.12196884772,1.24165858732
S0362a,2019-12-03T22:06:28.844998Z,2019-12-03T22:15:04.838409Z,2.4_HZ,D,1.09806362345,1.12014408578,1.2767830083,1.33953359221,1.455129718,1.36059550495
S0361c,2019-12-03T00:44:57.814616Z,2019-12-03T01:02:27.214653Z,HIGH_FREQUENCY,B,1.31653595101,1.25689701558,1.3609882852,4.52281477711,4.14226729356,3.9939150228
S0361b,2019-12-02T23:15:12.080611Z,2019-12-02T23:30:09.355045Z,2.4_HZ,C,1.24003235148,1.20350773465,1.24058965614,1.71989213868,1.6653120396,1.83630620061
S0360b,2019-12-01T23:54:53.103181Z,2019-12-02T00:11:54.761089Z,HIGH_FREQUENCY,D,1.1031023672,1.06382654776,1.04773337111,1.43238928868,1.74727199831,1.60115175184
S0360a,2019-12-01T20:07:45.897198Z,2019-12-01T20:22:56.439719Z,2.4_HZ,D,1.1491897155,1.11230768005,1.0452775018,1.60037754613,1.70408215533,1.71240654616
S0359a,2019-11-30T21:12:16.873598Z,2019-11-30T21:30:08.911713Z,2.4_HZ,C,1.11651323668,1.29452588247,1.00593890386,1.7147012146,1.57292471726,1.71814884597
S0358c,2019-11-30T00:48:30.091408Z,2019-11-30T01:02:30.754913Z,VERY_HIGH_FREQUENCY,C,1.21180370956,1.19202049119,1.09274066223,2.24900950514,1.88712713976,2.01967685081
S0358b,2019-11-29T22:58:27.299293Z,2019-11-29T23:11:46.023045Z,2.4_HZ,C,1.03736952503,0.989026726721,0.95883491786,1.49344055349,1.49659208953,1.38252948152
S0358a,2019-11-29T21:49:10.399855Z,2019-11-29T22:00:37.100396Z,2.4_HZ,D,0.964598895266,0.992781325953,0.985161064229,1.43678030727,1.37100802566,1.38876284642
S0357b,2019-11-29T00:20:39.184954Z,2019-11-29T00:37:02.622276Z,2.4_HZ,D,1.21407678372,1.24014482897,1.19504453743,1.5583041711,1.52980376523,1.43797302886
S0357a,2019-11-28T19:24:59.144346Z,2019-11-28T19:31:17.373575Z,LOW_FREQUENCY,C,1.2876989732,1.15765289121,1.18653236938,1.00652734194,1.05693155454,0.997362045148
